message,severity,attributes,tags,timestamp
[2026-07-27 03:43:58 +0000] [1] [INFO] Starting gunicorn 21.2.0,error,"{""level"":""error""}","{""project"":""18ae2dc1-0a91-404f-9b9d-da9708df09e8"",""environment"":""2533d774-b502-45f4-8662-21104f0c30ec"",""service"":""8cc9f43f-3b20-493d-b93e-2f55ea2269d8"",""deployment"":""f90b7e66-86c1-455b-8ed3-9335e39456f9"",""replica"":""72c16734-1036-47f7-bddd-543351bfe469""}",2026-07-27T03:43:58.968771942Z
[2026-07-27 03:43:58 +0000] [1] [INFO] Listening at: http://0.0.0.0:8080 (1),error,"{""level"":""error""}","{""project"":""18ae2dc1-0a91-404f-9b9d-da9708df09e8"",""environment"":""2533d774-b502-45f4-8662-21104f0c30ec"",""service"":""8cc9f43f-3b20-493d-b93e-2f55ea2269d8"",""deployment"":""f90b7e66-86c1-455b-8ed3-9335e39456f9"",""replica"":""72c16734-1036-47f7-bddd-543351bfe469""}",2026-07-27T03:43:58.968774802Z
[2026-07-27 03:43:58 +0000] [1] [INFO] Using worker: sync,error,"{""level"":""error""}","{""project"":""18ae2dc1-0a91-404f-9b9d-da9708df09e8"",""environment"":""2533d774-b502-45f4-8662-21104f0c30ec"",""service"":""8cc9f43f-3b20-493d-b93e-2f55ea2269d8"",""deployment"":""f90b7e66-86c1-455b-8ed3-9335e39456f9"",""replica"":""72c16734-1036-47f7-bddd-543351bfe469""}",2026-07-27T03:43:58.968777422Z
[2026-07-27 03:43:58 +0000] [2] [INFO] Booting worker with pid: 2,error,"{""level"":""error""}","{""project"":""18ae2dc1-0a91-404f-9b9d-da9708df09e8"",""environment"":""2533d774-b502-45f4-8662-21104f0c30ec"",""service"":""8cc9f43f-3b20-493d-b93e-2f55ea2269d8"",""deployment"":""f90b7e66-86c1-455b-8ed3-9335e39456f9"",""replica"":""72c16734-1036-47f7-bddd-543351bfe469""}",2026-07-27T03:43:58.968779892Z
Failed to find attribute 'app' in 'app'.,error,"{""level"":""error""}","{""project"":""18ae2dc1-0a91-404f-9b9d-da9708df09e8"",""environment"":""2533d774-b502-45f4-8662-21104f0c30ec"",""service"":""8cc9f43f-3b20-493d-b93e-2f55ea2269d8"",""deployment"":""f90b7e66-86c1-455b-8ed3-9335e39456f9"",""replica"":""72c16734-1036-47f7-bddd-543351bfe469""}",2026-07-27T03:43:58.968782602Z
[2026-07-27 03:43:58 +0000] [2] [INFO] Worker exiting (pid: 2),error,"{""level"":""error""}","{""project"":""18ae2dc1-0a91-404f-9b9d-da9708df09e8"",""environment"":""2533d774-b502-45f4-8662-21104f0c30ec"",""service"":""8cc9f43f-3b20-493d-b93e-2f55ea2269d8"",""deployment"":""f90b7e66-86c1-455b-8ed3-9335e39456f9"",""replica"":""72c16734-1036-47f7-bddd-543351bfe469""}",2026-07-27T03:43:58.968787132Z
[2026-07-27 03:43:58 +0000] [1] [ERROR] Worker (pid:2) exited with code 4,error,"{""level"":""error""}","{""project"":""18ae2dc1-0a91-404f-9b9d-da9708df09e8"",""environment"":""2533d774-b502-45f4-8662-21104f0c30ec"",""service"":""8cc9f43f-3b20-493d-b93e-2f55ea2269d8"",""deployment"":""f90b7e66-86c1-455b-8ed3-9335e39456f9"",""replica"":""72c16734-1036-47f7-bddd-543351bfe469""}",2026-07-27T03:43:58.968789592Z
[2026-07-27 03:43:58 +0000] [1] [ERROR] Shutting down: Master,error,"{""level"":""error""}","{""project"":""18ae2dc1-0a91-404f-9b9d-da9708df09e8"",""environment"":""2533d774-b502-45f4-8662-21104f0c30ec"",""service"":""8cc9f43f-3b20-493d-b93e-2f55ea2269d8"",""deployment"":""f90b7e66-86c1-455b-8ed3-9335e39456f9"",""replica"":""72c16734-1036-47f7-bddd-543351bfe469""}",2026-07-27T03:43:58.968792412Z
[2026-07-27 03:43:58 +0000] [1] [ERROR] Reason: App failed to load.,error,"{""level"":""error""}","{""project"":""18ae2dc1-0a91-404f-9b9d-da9708df09e8"",""environment"":""2533d774-b502-45f4-8662-21104f0c30ec"",""service"":""8cc9f43f-3b20-493d-b93e-2f55ea2269d8"",""deployment"":""f90b7e66-86c1-455b-8ed3-9335e39456f9"",""replica"":""72c16734-1036-47f7-bddd-543351bfe469""}",2026-07-27T03:43:58.968794862Z
Starting Container,info,"{""level"":""info""}","{""project"":""18ae2dc1-0a91-404f-9b9d-da9708df09e8"",""environment"":""2533d774-b502-45f4-8662-21104f0c30ec"",""service"":""8cc9f43f-3b20-493d-b93e-2f55ea2269d8"",""deployment"":""f90b7e66-86c1-455b-8ed3-9335e39456f9"",""replica"":""72c16734-1036-47f7-bddd-543351bfe469""}",2026-07-27T03:43:59.093268323Z
